TeamLeagueMember,Player,KeptRound
AJ,N/A,
Burns,Michael Thomas,10
Ellery,N/A,
Flem,Michael Crabtree,9
Hutch,T.Y. Hilton,3
Joe,Jamison Crowder,10
Keith,Jay Ajayi,7
Kyle,LeSean McCoy,2
McGov,DeMarco Murray,5
Pete,Antonio Brown,1
Shane,DeVante Adams,10
Whit,Jordan Howard,10
